business_date,run_age_bd,daily_dir_size_bytes,daily_file_count,day_completion_status,total_elapsed_seconds,elapsed_market_refresh_seconds,elapsed_morning_seconds,elapsed_sell_planning_seconds,elapsed_data_readiness_seconds,elapsed_submit_seconds,elapsed_execution_seconds,elapsed_current_valuation_refresh_seconds,elapsed_runtime_state_refresh_seconds,regime,market_trend_state,breadth_state,confidence,equity,daily_pnl,daily_return,cash,market_value,exposure,position_count,pc_member_count,bq_positive_count,capitalized_pc_member_count,prior_exit_lineage_row_count,reentry_suppressed_count,old_gt120bd_reentry_suppressed_count,unknown_context_reentry_suppressed_count,prior_exit_target_zero_count,positive_add_count
2024-08-09,457,239250599,126,PASS,235.372186,150.739585,36.353114,4.24751,2.828048,30.992963,3.342372,4.714259,2.154335,HIGH_VOLATILITY,BEAR,WEAK,0.991544291805,453190.0,-226090.0,-0.33283771,,453190.0,1.0,5,50,48,5,41,41,16,7,41,0
2024-08-13,458,229868534,126,PASS,202.732401,151.661785,33.867715,3.137919,2.791576,2.383922,2.154932,4.597943,2.136609,HIGH_VOLATILITY,BEAR,WEAK,0.993231132075,1744410.0,1291220.0,2.84918026,1291220.0,453190.0,0.259796,5,50,49,5,42,42,19,6,42,0
2024-08-14,459,227114849,126,PASS,235.536206,152.582171,35.800687,3.645178,2.666286,30.65491,3.325662,4.685142,2.17617,HIGH_VOLATILITY,BEAR,WEAK,0.993701160313,469350.0,-1275060.0,-0.73094055,,469350.0,1.0,4,50,46,4,33,33,15,3,33,0
2024-08-15,460,244741061,126,PASS,287.674931,154.441833,53.807156,3.418899,2.788458,62.378912,3.644287,4.990273,2.205113,HIGH_VOLATILITY,BEAR,WEAK,0.9912022765,975960.0,506610.0,1.07938639,,975960.0,1.0,8,50,47,9,32,30,17,3,30,0
2024-08-16,461,257275037,126,PASS,300.848434,156.964926,51.023965,4.693061,25.692671,51.55572,3.662717,5.043571,2.211803,HIGH_VOLATILITY,BEAR,WEAK,0.989396449704,1109790.0,133830.0,0.13712652,,1109790.0,1.0,11,54,46,11,20,16,11,2,18,0
2024-08-19,462,235905017,126,PASS,288.882252,152.352658,44.283962,5.387951,24.467823,52.034877,3.454981,4.654997,2.245003,HIGH_VOLATILITY,BEAR,WEAK,0.987571022727,1789110.0,679320.0,0.61211581,679320.0,1109790.0,0.620303,10,55,42,9,27,26,15,1,27,0
2024-08-20,463,253104511,126,PASS,268.452882,155.370968,52.106131,5.814101,2.649261,42.271896,3.394931,4.691893,2.153701,HIGH_VOLATILITY,BEAR,WEAK,0.993357058126,1751000.0,-38110.0,-0.02130109,707120.0,1043880.0,0.596162,8,56,43,11,28,26,17,2,27,0
2024-08-21,464,243936322,126,PASS,301.208571,152.765964,57.404214,4.265666,24.323152,52.081466,3.447647,4.720498,2.199964,HIGH_VOLATILITY,BEAR,WEAK,0.989333333333,1761620.0,10620.0,0.00606511,913720.0,847900.0,0.481318,9,54,43,12,29,26,13,3,28,0
2024-08-22,465,247627047,130,PASS,232.761114,153.382915,39.225722,4.00251,24.46768,2.559598,2.241007,4.711104,2.170578,HIGH_VOLATILITY,BEAR,WEAK,0.991023509855,1755070.0,-6550.0,-0.00371817,842220.0,912850.0,0.520122,9,54,41,10,32,29,16,3,32,0
2024-08-23,466,247387202,126,PASS,315.565737,153.172965,60.673685,4.633276,2.685314,83.867503,3.617649,4.741043,2.174302,HIGH_VOLATILITY,BEAR,WEAK,0.992519591546,1758940.0,3870.0,0.00220504,842220.0,916720.0,0.521178,11,57,44,12,35,30,17,4,32,0
